,IoCType,InfoSource,IoCCategory,IoCValue
498,IP,F-ISAC,Malware,123.56.98.161
499,IP,F-ISAC,Malware,103.117.102.89
500,IP,F-ISAC,Malware,192.227.193.115
501,IP,F-ISAC,Malware,108.166.193.14
502,IP,F-ISAC,Malware,182.92.120.156
503,IP,F-ISAC,Malware,31.44.184.73
504,IP,F-ISAC,Malware,121.5.101.97
505,IP,F-ISAC,Malware,103.56.112.187
506,IP,F-ISAC,Malware,154.209.228.14
507,IP,F-ISAC,Malware,8.142.34.126
508,IP,F-ISAC,Malware,111.230.196.200
509,IP,F-ISAC,Malware,47.94.153.149
510,IP,F-ISAC,Malware,81.68.252.57
511,IP,F-ISAC,Malware,5.39.221.60
512,IP,F-ISAC,Malware,116.204.211.148
513,IP,F-ISAC,Malware,95.143.177.211
514,IP,F-ISAC,Malware,103.243.183.248
515,IP,F-ISAC,Malware,43.129.76.68
516,IP,F-ISAC,Malware,139.9.85.44
517,IP,F-ISAC,Malware,8.210.84.140
518,IP,F-ISAC,Malware,47.105.205.216
519,IP,F-ISAC,Malware,23.224.70.229
520,IP,F-ISAC,Malware,162.14.77.157
521,IP,F-ISAC,Malware,159.75.70.33
522,IP,F-ISAC,Malware,209.126.119.186
523,IP,F-ISAC,Malware,64.225.21.63
524,IP,F-ISAC,Malware,81.71.149.222
525,IP,F-ISAC,Malware,109.205.56.154
526,IP,F-ISAC,Malware,52.59.214.27
527,IP,F-ISAC,Malware,139.198.174.135
528,IP,F-ISAC,Malware,121.41.89.180
529,IP,F-ISAC,Malware,173.82.104.3
530,IP,F-ISAC,Malware,54.163.158.61
531,IP,F-ISAC,Malware,1.117.29.31
532,IP,F-ISAC,Malware,49.234.138.145
533,IP,F-ISAC,Malware,45.32.146.181
534,IP,F-ISAC,Malware,154.202.59.50
535,IP,F-ISAC,Malware,101.35.142.171
536,IP,F-ISAC,Malware,1.116.96.210
537,IP,F-ISAC,Malware,82.157.141.254
538,IP,F-ISAC,Malware,49.233.115.153
539,IP,F-ISAC,Malware,121.5.154.138
540,IP,F-ISAC,Malware,101.35.121.227
541,IP,F-ISAC,Malware,120.26.196.91
542,IP,F-ISAC,Malware,1.117.165.83
543,IP,F-ISAC,Malware,43.129.7.189
544,IP,F-ISAC,Malware,103.253.43.84
545,IP,F-ISAC,Malware,152.136.116.68
546,IP,F-ISAC,Malware,47.111.127.70
547,IP,F-ISAC,Malware,103.234.72.134
548,IP,F-ISAC,Malware,116.62.146.245
549,IP,F-ISAC,Malware,154.204.25.175
550,IP,F-ISAC,Malware,91.240.87.19
551,IP,F-ISAC,Malware,137.184.143.170
552,IP,F-ISAC,Malware,101.34.239.245
553,IP,F-ISAC,Malware,120.26.50.69
554,IP,F-ISAC,Malware,8.210.224.18
555,IP,F-ISAC,Malware,101.201.155.45
556,IP,F-ISAC,Malware,16.163.29.23
557,IP,F-ISAC,Malware,192.3.86.197
558,IP,F-ISAC,Malware,47.103.157.82
559,IP,F-ISAC,Malware,1.117.97.211
560,IP,F-ISAC,Malware,31.44.184.187
561,IP,F-ISAC,Malware,45.61.139.86
562,IP,F-ISAC,Malware,81.69.202.34
563,IP,F-ISAC,Malware,81.68.179.138
564,IP,F-ISAC,Malware,101.36.127.65
565,IP,F-ISAC,Malware,47.98.242.152
566,IP,F-ISAC,Malware,47.97.38.151
567,IP,F-ISAC,Malware,103.108.193.24
568,IP,F-ISAC,Malware,198.211.41.207
569,IP,F-ISAC,Malware,82.157.66.32
570,IP,F-ISAC,Malware,1.117.86.121
571,IP,F-ISAC,Malware,165.227.85.160
572,IP,F-ISAC,Malware,108.61.247.237
573,IP,F-ISAC,Malware,172.245.79.146
574,IP,F-ISAC,Malware,103.253.43.230
575,IP,F-ISAC,Malware,47.242.246.95
576,IP,F-ISAC,Malware,175.24.60.104
